City_ID,City,Country,Longitude,Latitude,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
296,Jérémie,HT,-74.1167,18.65,80.26,76,22,1.12,few clouds
297,San Carlos,VE,-68.5827,9.6612,73.9,93,96,3.91,overcast clouds
298,Inuvik,CA,-133.7218,68.3499,34.81,100,90,8.05,light intensity drizzle
299,Tiksi,RU,128.8694,71.6872,27.81,83,76,15.95,broken clouds
300,San Patricio,US,-97.5169,28.017,82.26,73,100,6.02,overcast clouds
301,Penhold,CA,-113.8687,52.1334,61.54,41,75,2.3,haze
302,Buraidah,SA,43.975,26.326,73.85,16,6,5.06,clear sky
303,Amapá,BR,-52.0,1.0,73.09,96,100,3.04,overcast clouds
304,Santa Isabel Rio Negro,BR,-65.0192,-0.4139,73.71,98,83,1.07,broken clouds
305,Soyo,AO,12.3689,-6.1349,74.62,83,95,7.72,overcast clouds
306,Bétera,ES,-0.45,39.5833,69.89,91,100,2.3,overcast clouds
307,Lavrentiya,RU,-171.0,65.5833,28.51,74,6,5.93,clear sky
308,Tezu,IN,96.1667,27.9167,73.13,97,100,2.86,moderate rain
309,Teya,RU,92.6267,60.3778,36.5,88,100,1.79,overcast clouds
310,Barra de Tecoanapa,MX,-98.75,16.5167,80.62,79,22,1.74,few clouds
311,Babushkin,RU,105.8647,51.7122,37.78,98,100,15.17,heavy intensity rain
312,Yabēlo,ET,38.0833,4.8833,60.1,67,14,5.19,few clouds
313,Camacha,PT,-16.3333,33.0833,67.42,68,75,9.22,broken clouds
314,North Platte,US,-100.7654,41.1239,62.38,63,1,0.0,clear sky
315,Kifrī,IQ,44.9661,34.6959,84.42,15,19,6.31,few clouds
316,Adrar,MR,-10.0711,20.5022,86.02,14,1,3.53,clear sky
317,Sitka,US,-135.33,57.0531,44.49,76,90,13.8,light rain
318,Tygda,RU,126.3333,53.1167,43.61,44,6,7.0,clear sky
319,Severo-Kuril'sk,RU,156.125,50.6789,47.12,96,100,18.25,moderate rain
320,Barranca,PE,-77.7667,-10.75,61.7,84,66,5.35,broken clouds
321,Yumen,CN,97.2,40.2833,44.28,40,69,19.48,broken clouds
322,Temyasovo,RU,58.1014,52.9933,35.96,93,100,7.18,overcast clouds
323,Kwakoa,TZ,37.7167,-3.7667,66.42,83,100,1.83,overcast clouds
324,Dunedin,NZ,170.5036,-45.8742,52.81,80,100,5.01,moderate rain
325,Broome,US,-75.833,42.2506,61.99,72,100,1.01,overcast clouds
326,Lotofaga,WS,-171.8578,-13.9764,92.98,76,98,19.66,overcast clouds
327,Albanel,CA,-72.4487,48.8832,42.94,93,47,0.0,scattered clouds
328,Abastumani,GE,42.8457,41.7075,47.32,91,100,1.66,overcast clouds
329,Kalat,PK,66.5916,29.0225,61.9,27,10,2.75,clear sky
330,Trincomalee,LK,81.2335,8.5711,79.47,82,16,8.25,light rain
331,Salalah,OM,54.0924,17.0151,78.46,85,86,5.53,overcast clouds
332,Esmeraldas,BR,-44.3139,-19.7625,72.46,73,67,1.5,light rain
333,Longyearbyen,SJ,15.6401,78.2186,36.97,99,100,2.3,light rain
334,Belaya Gora,RU,146.4167,68.5333,30.78,77,86,8.59,overcast clouds
335,Berlin,DE,13.4105,52.5244,60.37,75,0,13.0,clear sky
336,Maţāy,EG,30.7792,28.419,70.16,69,0,11.05,clear sky
337,Oranjemund,NA,16.4333,-28.55,52.65,75,0,19.86,clear sky
338,Malakal,SS,31.6605,9.5334,68.95,95,100,3.89,overcast clouds
339,Tigzirt,DZ,4.1198,36.8886,72.1,64,0,6.06,clear sky
340,Pacifica,US,-122.4869,37.6138,91.02,83,20,13.8,few clouds
341,Yuli,NG,10.2744,9.6989,74.5,92,99,3.24,overcast clouds
342,Lander,US,-108.7307,42.833,64.8,27,1,10.36,clear sky
343,Trenggalek,ID,111.7167,-8.05,79.47,73,98,6.29,overcast clouds
344,Gaza,PS,34.4667,31.5,71.58,71,23,5.1,few clouds
